blub_idfs;id;year;date_from;date_to;championship;city;country;event_date;event_time_from;event_time_to;event_title;
515;3253;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.2013;14:30:00;15:00:00;Final 10m Air Rifle Men;
515;3259;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.2013;17:00:00;17:30:00;Final Trap Women;
515;3262;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.2013;15:05:00;15:35:00;Final 10m Air Rifle Women;
515;3264;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.2013;13:00:00;13:30:00;Final 50m Pistol Men;
515;3266;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.2013;13:30:00;14:30:00;Final 25m Pistol Women;
515;3271;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.2013;16:30:00;17:00:00;Final Trap Men;
515;3275;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;12.04.2013;15:05:00;15:35:00;Final 10m Air Pistol Men;
515;3277;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;12.04.2013;13:30:00;14:00:00;Final 50m Rifle Prone Men ;
515;3284;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.2013;13:00:00;13:30:00;Final 50m Rifle 3 Positions Women ;
515;3285;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.2013;14:30:00;15:00:00;Final 10m Air Pistol Women;
515;3287;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.2013;16:30:00;17:00:00;Final Double Trap Men ;
515;3289;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;14.04.2013;16:00:00;17:00:00;Final 25m Rapid Fire Pistol Men;
515;3293;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;15.04.2013;14:30:00;15:00:00;Final 50m Rifle 3 Positions Men;
515;3296;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;15.04.2013;17:00:00;17:30:00;Final Skeet Women;
515;3297;2013;08.04.2013;17.04.2013;ISSF World Cup Changwon in all events;Changwon;KOR;16.04.2013;16:00:00;16:30:00;Final Skeet Men;
516;3114;2013;14.07.2013;21.07.2013;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;17.07.2013;13:00:00;13:00:00;Final Skeet Women ;
516;3115;2013;14.07.2013;21.07.2013;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;17.07.2013;13:45:00;13:45:00;Final Trap Women;
516;3120;2013;14.07.2013;21.07.2013;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;18.07.2013;16:00:00;16:00:00;Final Skeet Men;
516;3121;2013;14.07.2013;21.07.2013;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;18.07.2013;16:45:00;16:45:00;Final Trap Men;
516;3125;2013;14.07.2013;21.07.2013;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;20.07.2013;15:30:00;15:30:00;Final Double Trap Men;
517;3204;2013;07.05.2013;15.05.2013;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;09.05.2013;13:00:00;13:00:00;Final 10m Air Rifle Women;
517;3209;2013;07.05.2013;15.05.2013;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;10.05.2013;12:00:00;12:00:00;Final 50m Pistol Men;
517;3215;2013;07.05.2013;15.05.2013;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.2013;11:15:00;11:15:00;Final 50m Rifle Prone Men;
517;3217;2013;07.05.2013;15.05.2013;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.2013;13:00:00;13:00:00;Final 25m Pistol Women;
517;3220;2013;07.05.2013;15.05.2013;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.2013;14:00:00;14:00:00;Final 10m Air Pistol Men;
